OBJECTID,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_infraspecific_name,taxon_category_name,scientific_name,common_name,taxon_rank,SHAPE,long,lat,center_x,center_y
1060637,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,angustirostris,,Mammalia,Mirounga angustirostris,Northern Elephant Seal,species,"{'x': -122.96153202199997, 'y': 38.02736429600003, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153202199997,38.02736429600003,-122.90530061399994,38.02782775950004
123574724,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,canadensis,,Mammalia,Lontra canadensis,Northern River Otter,species,"{'x': -122.96155278199996, 'y': 38.02690331600007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96155278199996,38.02690331600007,-122.90530061399994,38.02782775950004
61655223,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,magister,,Other,Metacarcinus magister,Dungeness Crab,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
49074466,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Hesperocyparis,macrocarpa,,Plantae,Hesperocyparis macrocarpa,Monterey Cypress,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
82439882,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,magister,,Other,Metacarcinus magister,Dungeness Crab,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
13853582,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cakile,maritima,,Plantae,Cakile maritima,European Searocket,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
13871373,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,occidentalis,,Aves,Larus occidentalis,Western Gull,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
555391,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cotula,coronopifolia,,Plantae,Cotula coronopifolia,Brass Buttons,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
42728621,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,Tetragonia,tetragonoides,,Plantae,Tetragonia tetragonoides,Warrigal Greens,species,"{'x': -122.96151866899999, 'y': 38.02765898500007, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96151866899999,38.02765898500007,-122.90530061399994,38.02782775950004
112834377,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium,nuttallii,,Mollusca,Clinocardium nuttallii,Nuttall's Cockle,species,"{'x': -122.96153335399998, 'y': 38.02737260400005, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}",-122.96153335399998,38.02737260400005,-122.90530061399994,38.02782775950004
